college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"National Institute of Technology, Rourkela",223,2024,JoSAA,4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Gender-Neutral,552,1334,,,CRL,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Gender-Neutral,552,1334,,,CRL,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,Home State,Gender-Neutral,279,279,,,SC rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,Home State,Gender-Neutral,353,353,,,SC rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,Home State,Gender-Neutral,379,379,,,SC rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,Home State,Gender-Neutral,593,593,,,SC rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,Home State,Gender-Neutral,593,593,,,SC rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,ST,ST rank,Home State,Gender-Neutral,98,98,,,ST rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,ST,ST rank,Home State,Gender-Neutral,98,98,,,ST rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,ST,ST rank,Home State,Gender-Neutral,98,98,,,ST rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,ST,ST rank,Home State,Gender-Neutral,98,98,,,ST rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,ST,ST rank,Home State,Gender-Neutral,98,98,,,ST rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,All India,Gender-Neutral,147,147,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Rourkela",223,2024,JoSAA,2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,All India,Gender-Neutral,147,147,,,GEN-EWS rank,SRC003,
